date,consumption_gallons_dirty,consumption_gallons_clean,temp_f,base_load,seasonal_component,heat_effect,heatwave_effect,freeze_effect,holiday_effect,weekend_effect,noise,day_of_year,day_of_week,month,year,is_heatwave,is_freeze_event,is_holiday,is_weekend,data_quality_flag,trend_multiplier
2022-02-20,71428732.0,71428732.0,66.7,85290897.0,-17975056.0,0.0,0.0,0.0,0.0,3411636.0,701255.0,51,6,2,2022,0,0,0,1,CLEAN,1.003422
2022-02-21,68985312.0,68985312.0,68.2,85296715.0,-17457285.0,0.0,0.0,0.0,0.0,0.0,1145883.0,52,0,2,2022,0,0,0,0,CLEAN,1.003491
2022-02-22,65817395.0,65817395.0,60.1,85302533.0,-16929303.0,0.0,0.0,0.0,0.0,0.0,-2555835.0,53,1,2,2022,0,0,0,0,CLEAN,1.003559
2022-02-23,66764216.0,66764216.0,64.9,85308350.0,-16391387.0,0.0,0.0,0.0,0.0,0.0,-2152747.0,54,2,2,2022,0,0,0,0,CLEAN,1.003628
2022-02-24,69739459.0,69739459.0,64.5,85314168.0,-15843822.0,0.0,0.0,0.0,0.0,0.0,269112.0,55,3,2,2022,0,0,0,0,CLEAN,1.003696
2022-02-25,69118187.0,69118187.0,64.0,85319986.0,-15286901.0,0.0,0.0,0.0,0.0,0.0,-914899.0,56,4,2,2022,0,0,0,0,CLEAN,1.003765
2022-02-26,75697155.0,75697155.0,65.7,85325804.0,-14720926.0,0.0,0.0,0.0,0.0,3413032.0,1679244.0,57,5,2,2022,0,0,0,1,CLEAN,1.003833
2022-02-27,74195265.0,74195265.0,73.0,85331622.0,-14146207.0,0.0,0.0,0.0,0.0,3413265.0,-403415.0,58,6,2,2022,0,0,0,1,CLEAN,1.003901
2022-02-28,69298060.0,69298060.0,63.8,85337440.0,-13563062.0,0.0,0.0,0.0,0.0,0.0,-2476319.0,59,0,2,2022,0,0,0,0,CLEAN,1.00397
2022-03-01,70748196.0,70748196.0,71.8,85343258.0,-12971816.0,0.0,0.0,0.0,0.0,0.0,-1623247.0,60,1,3,2022,0,0,0,0,CLEAN,1.004038
2022-03-02,69456040.0,69456040.0,61.5,85349076.0,-12372801.0,0.0,0.0,0.0,0.0,0.0,-3520235.0,61,2,3,2022,0,0,0,0,CLEAN,1.004107
2022-03-03,73288781.0,73288781.0,67.1,85354894.0,-11766357.0,0.0,0.0,0.0,0.0,0.0,-299756.0,62,3,3,2022,0,0,0,0,CLEAN,1.004175
2022-03-04,73966673.0,73966673.0,69.3,85360712.0,-11152829.0,0.0,0.0,0.0,0.0,0.0,-241209.0,63,4,3,2022,0,0,0,0,CLEAN,1.004244
2022-03-05,77705097.0,77705097.0,71.3,85366530.0,-10532571.0,0.0,0.0,0.0,0.0,3414661.0,-543524.0,64,5,3,2022,0,0,0,1,CLEAN,1.004312
2022-03-06,80262899.0,80262899.0,72.0,85372348.0,-9905939.0,0.0,0.0,0.0,0.0,3414894.0,1381597.0,65,6,3,2022,0,0,0,1,CLEAN,1.004381
2022-03-07,77639778.0,77639778.0,72.6,85378166.0,-9273299.0,0.0,0.0,0.0,0.0,0.0,1534911.0,66,0,3,2022,0,0,0,0,CLEAN,1.004449
2022-03-08,76530738.0,76530738.0,68.3,85383984.0,-8635019.0,0.0,0.0,0.0,0.0,0.0,-218227.0,67,1,3,2022,0,0,0,0,CLEAN,1.004517
2022-03-09,74664112.0,74664112.0,68.1,85389802.0,-7991474.0,0.0,0.0,0.0,0.0,0.0,-2734216.0,68,2,3,2022,0,0,0,0,CLEAN,1.004586
2022-03-10,78843274.0,78843274.0,73.6,85395619.0,-7343043.0,0.0,0.0,0.0,0.0,0.0,790697.0,69,3,3,2022,0,0,0,0,CLEAN,1.004654
2022-03-11,79422756.0,79422756.0,69.7,85401437.0,-6690110.0,0.0,0.0,0.0,0.0,0.0,711428.0,70,4,3,2022,0,0,0,0,CLEAN,1.004723
2022-03-12,83186848.0,83186848.0,65.6,85407255.0,-6033062.0,0.0,0.0,0.0,0.0,3416290.0,396364.0,71,5,3,2022,0,0,0,1,CLEAN,1.004791
2022-03-13,84714773.0,84714773.0,66.4,85413073.0,-5372291.0,0.0,0.0,0.0,0.0,3416523.0,1257468.0,72,6,3,2022,0,0,0,1,CLEAN,1.00486
2022-03-14,79218225.0,79218225.0,67.6,85418891.0,-4708192.0,0.0,0.0,0.0,0.0,0.0,-1492475.0,73,0,3,2022,0,0,0,0,CLEAN,1.004928
2022-03-15,83957508.0,83957508.0,73.5,85424709.0,-4041161.0,0.0,0.0,0.0,0.0,0.0,2573960.0,74,1,3,2022,0,0,0,0,CLEAN,1.004997
2022-03-16,80829460.0,80829460.0,72.3,85430527.0,-3371601.0,0.0,0.0,0.0,0.0,0.0,-1229466.0,75,2,3,2022,0,0,0,0,CLEAN,1.005065
2022-03-17,83696595.0,83696595.0,74.8,85436345.0,-2699913.0,0.0,0.0,0.0,0.0,0.0,960163.0,76,3,3,2022,0,0,0,0,CLEAN,1.005133
2022-03-18,81253101.0,81253101.0,70.6,85442163.0,-2026502.0,0.0,0.0,0.0,0.0,0.0,-2162560.0,77,4,3,2022,0,0,0,0,CLEAN,1.005202
2022-03-19,86321787.0,86321787.0,73.2,85447981.0,-1351774.0,0.0,0.0,0.0,0.0,3417919.0,-1192339.0,78,5,3,2022,0,0,0,1,CLEAN,1.00527
2022-03-20,90139505.0,90139505.0,75.3,85453799.0,-676138.0,0.0,0.0,0.0,0.0,3418152.0,1943692.0,79,6,3,2022,0,0,0,1,CLEAN,1.005339
2022-03-21,85125171.0,85125171.0,71.9,85459617.0,0.0,0.0,0.0,0.0,0.0,0.0,-334446.0,80,0,3,2022,0,0,0,0,CLEAN,1.005407
2022-03-22,87218430.0,87218430.0,75.2,85465435.0,676230.0,0.0,0.0,0.0,0.0,0.0,1076765.0,81,1,3,2022,0,0,0,0,CLEAN,1.005476
2022-03-23,87127188.0,87127188.0,71.0,85471253.0,1352142.0,0.0,0.0,0.0,0.0,0.0,303793.0,82,2,3,2022,0,0,0,0,CLEAN,1.005544
2022-03-24,87369828.0,87369828.0,72.5,85477070.0,2027330.0,0.0,0.0,0.0,0.0,0.0,-134573.0,83,3,3,2022,0,0,0,0,CLEAN,1.005613
2022-03-25,89933060.0,89933060.0,72.7,85482888.0,2701384.0,0.0,0.0,0.0,0.0,0.0,1748788.0,84,4,3,2022,0,0,0,0,CLEAN,1.005681
2022-03-26,91978677.0,91978677.0,69.7,85488706.0,3373897.0,0.0,0.0,0.0,0.0,3419548.0,-303475.0,85,5,3,2022,0,0,0,1,CLEAN,1.005749
2022-03-27,90675119.0,90675119.0,76.7,85494524.0,4044464.0,0.0,0.0,0.0,0.0,3419781.0,-2283650.0,86,6,3,2022,0,0,0,1,CLEAN,1.005818
2022-03-28,89182864.0,89182864.0,73.1,85500342.0,4712681.0,0.0,0.0,0.0,0.0,0.0,-1030160.0,87,0,3,2022,0,0,0,0,CLEAN,1.005886
2022-03-29,91591260.0,91591260.0,75.3,85506160.0,5378146.0,0.0,0.0,0.0,0.0,0.0,706954.0,88,1,3,2022,0,0,0,0,CLEAN,1.005955
2022-03-30,348446150.0,92059749.0,77.5,85511978.0,6040459.0,0.0,0.0,0.0,0.0,0.0,507311.0,89,2,3,2022,0,0,0,0,UNIT_ERROR,1.006023
2022-03-31,90206850.0,90206850.0,77.6,85517796.0,6699225.0,0.0,0.0,0.0,0.0,0.0,-2010171.0,90,3,3,2022,0,0,0,0,CLEAN,1.006092
2022-04-01,91948437.0,91948437.0,78.5,85523614.0,7354049.0,0.0,0.0,0.0,0.0,0.0,-929226.0,91,4,4,2022,0,0,0,0,CLEAN,1.00616
2022-04-02,96208836.0,96208836.0,75.7,85529432.0,8004542.0,0.0,0.0,0.0,0.0,3421177.0,-746314.0,92,5,4,2022,0,0,0,1,CLEAN,1.006229
2022-04-03,97138068.0,97138068.0,74.7,85535250.0,8650317.0,0.0,0.0,0.0,0.0,3421410.0,-468908.0,93,6,4,2022,0,0,0,1,CLEAN,1.006297
2022-04-04,93066603.0,93066603.0,76.3,85541068.0,9290992.0,0.0,0.0,0.0,0.0,0.0,-1765457.0,94,0,4,2022,0,0,0,0,CLEAN,1.006366
2022-04-05,94666749.0,94666749.0,70.2,85546886.0,9926191.0,0.0,0.0,0.0,0.0,0.0,-806328.0,95,1,4,2022,0,0,0,0,CLEAN,1.006434
2022-04-06,95173226.0,95173226.0,71.4,85552704.0,10555541.0,0.0,0.0,0.0,0.0,0.0,-935019.0,96,2,4,2022,0,0,0,0,CLEAN,1.006502
2022-04-07,97727365.0,97727365.0,72.1,85558522.0,11178674.0,0.0,0.0,0.0,0.0,0.0,990169.0,97,3,4,2022,0,0,0,0,CLEAN,1.006571
2022-04-08,98398048.0,98398048.0,73.7,85564339.0,11795229.0,0.0,0.0,0.0,0.0,0.0,1038479.0,98,4,4,2022,0,0,0,0,CLEAN,1.006639
2022-04-09,101210659.0,101210659.0,79.6,85570157.0,12404850.0,0.0,0.0,0.0,0.0,3422806.0,-187155.0,99,5,4,2022,0,0,0,1,CLEAN,1.006708
2022-04-10,101502964.0,101502964.0,74.6,85575975.0,13007188.0,0.0,0.0,0.0,0.0,3423039.0,-503238.0,100,6,4,2022,0,0,0,1,CLEAN,1.006776
2022-04-11,99363316.0,99363316.0,77.0,85581793.0,13601898.0,0.0,0.0,0.0,0.0,0.0,179625.0,101,0,4,2022,0,0,0,0,CLEAN,1.006845
2022-04-12,98997695.0,98997695.0,83.9,85587611.0,14188644.0,269770.0,0.0,0.0,0.0,0.0,-1048331.0,102,1,4,2022,0,0,0,0,CLEAN,1.006913
2022-04-13,98888108.0,98888108.0,77.6,85593429.0,14767098.0,0.0,0.0,0.0,0.0,0.0,-1472419.0,103,2,4,2022,0,0,0,0,CLEAN,1.006982
2022-04-14,99879611.0,99879611.0,82.2,85599247.0,15336936.0,150662.0,0.0,0.0,0.0,0.0,-1207233.0,104,3,4,2022,0,0,0,0,CLEAN,1.00705
2022-04-15,100687761.0,100687761.0,75.8,85605065.0,15897845.0,0.0,0.0,0.0,0.0,0.0,-815148.0,105,4,4,2022,0,0,0,0,CLEAN,1.007118
2022-04-16,103990745.0,103990745.0,78.9,85610883.0,16449517.0,0.0,0.0,0.0,0.0,3424435.0,-1494090.0,106,5,4,2022,0,0,0,1,CLEAN,1.007187
2022-04-17,106241148.0,106241148.0,76.2,85616701.0,16991654.0,0.0,0.0,0.0,0.0,3424668.0,208125.0,107,6,4,2022,0,0,0,1,CLEAN,1.007255
2022-04-18,104083686.0,104083686.0,78.9,85622519.0,17523966.0,0.0,0.0,0.0,0.0,0.0,937201.0,108,0,4,2022,0,0,0,0,CLEAN,1.007324
2022-04-19,101898876.0,101898876.0,83.8,85628337.0,18046171.0,262877.0,0.0,0.0,0.0,0.0,-2038509.0,109,1,4,2022,0,0,0,0,CLEAN,1.007392
2022-04-20,104224430.0,104224430.0,73.8,85634155.0,18557997.0,0.0,0.0,0.0,0.0,0.0,32278.0,110,2,4,2022,0,0,0,0,CLEAN,1.007461
2022-04-21,104600912.0,104600912.0,82.7,85639973.0,19059180.0,184289.0,0.0,0.0,0.0,0.0,-282529.0,111,3,4,2022,0,0,0,0,CLEAN,1.007529
2022-04-22,105780517.0,105780517.0,82.1,85645791.0,19549466.0,146529.0,0.0,0.0,0.0,0.0,438732.0,112,4,4,2022,0,0,0,0,CLEAN,1.007598
2022-04-23,109089659.0,109089659.0,79.0,85651608.0,20028609.0,0.0,0.0,0.0,0.0,3426064.0,-16623.0,113,5,4,2022,0,0,0,1,CLEAN,1.007666
2022-04-24,107712425.0,107712425.0,75.9,85657426.0,20496375.0,0.0,0.0,0.0,0.0,3426297.0,-1867674.0,114,6,4,2022,0,0,0,1,CLEAN,1.007734
2022-04-25,105142682.0,105142682.0,82.2,85663244.0,20952538.0,149004.0,0.0,0.0,0.0,0.0,-1622105.0,115,0,4,2022,0,0,0,0,CLEAN,1.007803
2022-04-26,107103756.0,107103756.0,80.0,85669062.0,21396883.0,0.0,0.0,0.0,0.0,0.0,37810.0,116,1,4,2022,0,0,0,0,CLEAN,1.007871
2022-04-27,109050766.0,109050766.0,83.3,85674880.0,21829205.0,224570.0,0.0,0.0,0.0,0.0,1322110.0,117,2,4,2022,0,0,0,0,CLEAN,1.00794
2022-04-28,105266779.0,105266779.0,82.7,85680698.0,22249309.0,182469.0,0.0,0.0,0.0,0.0,-2845697.0,118,3,4,2022,0,0,0,0,CLEAN,1.008008
2022-04-29,109419228.0,109419228.0,89.2,85686516.0,22657010.0,631340.0,0.0,0.0,0.0,0.0,444362.0,119,4,4,2022,0,0,0,0,CLEAN,1.008077
2022-04-30,113843420.0,113843420.0,82.1,85692334.0,23052135.0,142136.0,0.0,0.0,0.0,3427693.0,1529122.0,120,5,4,2022,0,0,0,1,CLEAN,1.008145
2022-05-01,112363888.0,112363888.0,79.2,85698152.0,23434520.0,0.0,0.0,0.0,0.0,3427926.0,-196711.0,121,6,5,2022,0,0,0,1,CLEAN,1.008214
2022-05-02,110503467.0,110503467.0,84.2,85703970.0,23804014.0,288165.0,0.0,0.0,0.0,0.0,707318.0,122,0,5,2022,0,0,0,0,CLEAN,1.008282
2022-05-03,109281316.0,109281316.0,84.6,85709788.0,24160475.0,314951.0,0.0,0.0,0.0,0.0,-903899.0,123,1,5,2022,0,0,0,0,CLEAN,1.00835
2022-05-04,110708958.0,110708958.0,89.4,85715606.0,24503773.0,643053.0,0.0,0.0,0.0,0.0,-153473.0,124,2,5,2022,0,0,0,0,CLEAN,1.008419
2022-05-05,108985979.0,108985979.0,87.5,85721424.0,24833788.0,514973.0,0.0,0.0,0.0,0.0,-2084205.0,125,3,5,2022,0,0,0,0,CLEAN,1.008487
2022-05-06,108262525.0,108262525.0,85.8,85727242.0,25150412.0,399482.0,0.0,0.0,0.0,0.0,-3014611.0,126,4,5,2022,0,0,0,0,CLEAN,1.008556
2022-05-07,116547091.0,116547091.0,90.5,85733060.0,25453549.0,718767.0,0.0,0.0,0.0,3429322.0,1212393.0,127,5,5,2022,0,0,0,1,CLEAN,1.008624
2022-05-08,113651709.0,113651709.0,80.1,85738877.0,25743111.0,6951.0,0.0,0.0,0.0,3429555.0,-1266785.0,128,6,5,2022,0,0,0,1,CLEAN,1.008693
2022-05-09,111351258.0,111351258.0,82.5,85744695.0,26019025.0,173423.0,0.0,0.0,0.0,0.0,-585886.0,129,0,5,2022,0,0,0,0,CLEAN,1.008761
2022-05-10,110359057.0,110359057.0,81.6,85750513.0,26281228.0,110638.0,0.0,0.0,0.0,0.0,-1783322.0,130,1,5,2022,0,0,0,0,CLEAN,1.00883
2022-05-11,110746227.0,110746227.0,84.0,85756331.0,26529666.0,273938.0,0.0,0.0,0.0,0.0,-1813707.0,131,2,5,2022,0,0,0,0,CLEAN,1.008898
2022-05-12,112322026.0,112322026.0,80.3,85762149.0,26764299.0,19208.0,0.0,0.0,0.0,0.0,-223630.0,132,3,5,2022,0,0,0,0,CLEAN,1.008966
2022-05-13,112402017.0,112402017.0,88.6,85767967.0,26985097.0,587568.0,0.0,0.0,0.0,0.0,-938615.0,133,4,5,2022,0,0,0,0,CLEAN,1.009035
2022-05-14,117251669.0,117251669.0,85.4,85773785.0,27192041.0,368591.0,0.0,0.0,0.0,3430951.0,486300.0,134,5,5,2022,0,0,0,1,CLEAN,1.009103
2022-05-15,117220514.0,117220514.0,80.6,85779603.0,27385123.0,42325.0,0.0,0.0,0.0,3431184.0,582278.0,135,6,5,2022,0,0,0,1,CLEAN,1.009172
2022-05-16,113946497.0,113946497.0,82.7,85785421.0,27564348.0,183865.0,0.0,0.0,0.0,0.0,412863.0,136,0,5,2022,0,0,0,0,CLEAN,1.00924
2022-05-17,114393463.0,114393463.0,88.2,85791239.0,27729728.0,565448.0,0.0,0.0,0.0,0.0,307048.0,137,1,5,2022,0,0,0,0,CLEAN,1.009309
2022-05-18,116435179.0,116435179.0,90.6,85797057.0,27881290.0,726314.0,0.0,0.0,0.0,0.0,2030518.0,138,2,5,2022,0,0,0,0,CLEAN,1.009377
2022-05-19,112469296.0,112469296.0,95.5,85802875.0,28019070.0,21390.0,0.0,0.0,0.0,0.0,-1374039.0,139,3,5,2022,0,0,0,0,CLEAN,1.009446
2022-05-20,115105063.0,115105063.0,99.4,85808693.0,28143113.0,1223965.0,0.0,0.0,0.0,0.0,-70708.0,140,4,5,2022,0,0,0,0,CLEAN,1.009514
2022-05-21,119619534.0,119619534.0,89.6,85814511.0,28253478.0,660946.0,0.0,0.0,0.0,3432580.0,1458018.0,141,5,5,2022,0,0,0,1,CLEAN,1.009582
2022-05-22,119523693.0,119523693.0,84.3,85820329.0,28350231.0,292472.0,0.0,0.0,0.0,3432813.0,1627848.0,142,6,5,2022,0,0,0,1,CLEAN,1.009651
2022-05-23,112429230.0,112429230.0,79.9,85826146.0,28433451.0,0.0,0.0,0.0,0.0,0.0,-1830367.0,143,0,5,2022,0,0,0,0,CLEAN,1.009719
2022-05-24,114604991.0,114604991.0,89.8,85831964.0,28503226.0,671952.0,0.0,0.0,0.0,0.0,-402151.0,144,1,5,2022,0,0,0,0,CLEAN,1.009788
2022-05-25,116538316.0,116538316.0,85.7,85837782.0,28559654.0,392209.0,0.0,0.0,0.0,0.0,1748672.0,145,2,5,2022,0,0,0,0,CLEAN,1.009856
2022-05-26,115619138.0,115619138.0,87.5,85843600.0,28602841.0,518466.0,0.0,0.0,0.0,0.0,654230.0,146,3,5,2022,0,0,0,0,CLEAN,1.009925
2022-05-27,115215193.0,115215193.0,87.0,85849418.0,28632907.0,481419.0,0.0,0.0,0.0,0.0,251448.0,147,4,5,2022,0,0,0,0,CLEAN,1.009993
2022-05-28,118286920.0,118286920.0,89.1,85855236.0,28649978.0,627837.0,0.0,0.0,0.0,3434209.0,-280341.0,148,5,5,2022,0,0,0,1,CLEAN,1.010062
2022-05-29,118431646.0,118431646.0,94.2,85861054.0,28654189.0,976264.0,0.0,0.0,0.0,3434442.0,-494303.0,149,6,5,2022,0,0,0,1,CLEAN,1.01013
2022-05-30,121637765.0,121637765.0,90.8,85866872.0,28645686.0,743298.0,0.0,0.0,6010681.0,0.0,371227.0,150,0,5,2022,0,0,1,0,CLEAN,1.010198
2022-05-31,114845436.0,114845436.0,89.8,85872690.0,28624624.0,673203.0,0.0,0.0,0.0,0.0,-325081.0,151,1,5,2022,0,0,0,0,CLEAN,1.010267
